,B10_Area3for2_A_Ahu1_DOAS_FanSuEh_FlSu,B10_Area3for2_A_Ahu2_DOAS_FanSuEh_FlSu,B10_Area3for2_A_Ahu2_FCU_FanRc_FlSu,B10_Area3for2_A_Ahu3_DOAS_FanSuEh_FlSu,B10_Area3for2_A_Ahu4_DOAS_FanSuEh_FlSu
2016-12-30 15:10:00+08:00,46.8400001526,0.0,39.25,38.25,47.7599983215
2016-12-30 15:15:00+08:00,48.8266652425,0.0,39.5333340963,35.2166659038,46.1333312988
2016-12-30 15:20:00+08:00,48.6799983978,0.0,40.0500011444,34.1500015259,46.1399993897
2016-12-30 15:25:00+08:00,48.5199991862,0.0,40.0833333334,35.6666679382,47.0533320109
2016-12-30 15:30:00+08:00,48.9799995422,0.0,40.4500007629,37.1749992371,47.7999992371
2016-12-30 15:35:00+08:00,48.5866648356,0.0,40.1666679382,35.6000010172,45.4666646322
2016-12-30 15:40:00+08:00,49.2399997711,0.0,41.0249996185,35.8250007629,45.3199977875
2016-12-30 15:45:00+08:00,48.7333335876,0.0,40.2333335877,38.0166676839,46.1466649373
2016-12-30 15:50:00+08:00,48.9599990845,0.0,40.6000003815,37.0500011444,45.6399974823
2016-12-30 15:55:00+08:00,48.4133313497,0.0,40.4666671753,36.9666684469,46.3066660563
2016-12-30 16:00:00+08:00,48.6199989319,0.0,40.4250011444,38.7500019073,46.7399978637
2016-12-30 16:05:00+08:00,48.1066665649,0.0,40.0,37.066666921,46.9333318074
2016-12-30 16:10:00+08:00,48.8399982453,0.0,40.5499992371,36.2250003815,46.5399990081
2016-12-30 16:15:00+08:00,48.8266652425,0.0,40.5000012716,37.6500002543,47.0799992879
2016-12-30 16:20:00+08:00,48.9399986267,0.0,40.4500007629,36.0250005722,47.0199985504
2016-12-30 16:25:00+08:00,48.1999994914,0.0,40.2166671753,37.6166674296,46.906665802
2016-12-30 16:30:00+08:00,47.9599990844,0.0,39.75,37.2500019073,47.3999996185
2016-12-30 16:35:00+08:00,47.839998881,0.0,39.8333333334,35.0833333333,47.7199999491
2016-12-30 16:40:00+08:00,47.419998169,0.0,39.6000003815,36.9500007629,47.3199977874
2016-12-30 16:45:00+08:00,47.9866650899,0.0,39.6000010173,35.9333343506,47.3599993388
2016-12-30 16:50:00+08:00,48.1399993897,0.0,39.5000019073,38.4000015259,47.0799980164
2016-12-30 16:55:00+08:00,48.4399986267,0.0,39.9500020345,35.6166674296,46.2133331299
2016-12-30 17:00:00+08:00,48.0999984741,0.0,39.7250022888,36.7999992371,46.859998703
