Location,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,DOAS1,DOAS1,DOAS2,DOAS3,DOAS4,FCU1,FCU2,FCU3,FCU4,FinanceOffice1,FinanceOffice1,FinanceOffice1,FinanceOffice2,FinanceOffice2,FinanceOffice2,FinanceOffice3,FinanceOffice3,FinanceOffice3,FinanceSecretary,FinanceSecretary,HRDirector,HRDirector,HRDirector,HRMeeting,HRMeeting,HRMeeting,HROffice1,HROffice1,HROffice2,HROffice2,HeadofSchool,HeadofSchool,HeadofSchool,HeadofSchoolSecretary,HeadofSchoolSecretary,HeadofSchoolSecretary,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,Pantry,Pantry,Pantry,Pantry,Pantry
DeviceNum,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num0,Num0,Num0,Num0,Num0,Num0,Num0,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num3,Num4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-15 12:40:00+08:00,651.0,733.5,746.0,818.0,697.0,652.5,625.5,753.299987793,703.357147217,720.800048828,867.200073242,648.800018311,619.200012207,542.100036621,776.700012207,633.300018311,810.0,848.0,765.5,965.5,828.5,869.5,991.0,823.5,939.5,994.0,936.5,781.0,797.0,779.0,771.5,754.5,662.0,644.5,705.5,839.0,697.5,774.5,715.5,752.0,770.0,840.5,632.0,779.5,833.0,886.5,699.5,803.5,875.0,793.0,1047.0,818.0,917.5,545.5,830.5
2017-02-15 12:45:00+08:00,646.333333333,723.333333333,738.333333333,810.666666667,719.666666667,645.0,627.333333333,749.066670736,701.523803711,719.533365885,866.933390299,636.066691081,617.933369954,540.533406575,758.133341471,634.133341471,805.666666667,846.666666667,766.0,954.333333333,820.666666667,862.666666667,996.0,832.333333333,943.333333333,970.666666667,902.333333333,783.333333333,801.666666667,780.333333333,757.0,750.666666667,655.333333333,647.0,697.666666667,842.333333333,697.0,780.0,717.0,752.333333333,768.0,839.666666667,629.0,778.333333333,818.333333333,877.0,699.0,792.0,826.0,787.666666667,1048.0,823.666666667,907.333333333,561.666666667,832.333333333
2017-02-15 12:50:00+08:00,645.0,720.5,736.5,808.0,739.0,639.5,624.0,740.200012207,701.785736084,721.800048828,888.700073242,633.900024414,617.700012207,538.700073242,752.400024414,630.800018311,800.5,848.0,766.5,945.0,811.5,855.5,989.0,828.0,942.5,945.0,884.5,785.0,806.5,774.5,751.0,742.5,655.0,646.0,699.5,845.5,696.5,776.5,717.5,751.5,762.0,831.5,625.0,779.0,816.5,871.0,702.5,792.5,802.5,788.0,1052.5,824.0,909.5,552.5,844.5
2017-02-15 12:55:00+08:00,643.666666667,715.333333333,734.666666667,804.0,744.0,634.333333333,625.333333333,739.400004069,700.190470377,725.133382161,906.866699219,633.733357747,613.066670736,538.800048828,758.933349609,632.666687012,809.0,853.333333333,769.666666667,941.0,810.333333333,854.333333333,989.666666667,824.333333333,938.333333333,919.333333333,881.666666667,789.333333333,809.333333333,774.333333333,746.666666667,738.333333333,651.0,644.333333333,690.0,845.666666667,694.333333333,778.666666667,717.0,758.0,758.666666667,828.666666667,628.666666667,777.333333333,817.333333333,874.666666667,710.666666667,802.666666667,791.333333333,781.333333333,1074.33333333,826.0,912.333333333,554.333333333,864.666666667
2017-02-15 13:00:00+08:00,645.0,716.5,729.0,802.0,746.5,633.5,627.0,736.600036621,699.928588867,721.800048828,898.700073242,651.400024414,610.700012207,539.200073242,764.700012207,627.800018311,808.0,846.0,771.0,935.0,804.5,852.0,994.5,836.5,940.0,910.0,867.5,794.0,811.0,773.0,740.0,732.5,649.5,645.5,687.0,846.0,685.5,779.5,715.5,756.0,766.5,829.5,636.5,762.0,821.5,872.5,706.0,803.0,789.0,777.0,1048.0,838.5,914.5,558.5,866.0
2017-02-15 13:05:00+08:00,645.666666667,716.0,735.0,795.666666667,750.333333333,633.0,624.0,734.933369954,699.952392578,718.133382161,894.200073242,654.200032552,608.733337402,536.400024414,763.933349609,625.000020345,806.0,845.0,770.666666667,932.333333333,802.666666667,845.333333333,995.0,838.666666667,937.0,899.333333333,852.333333333,796.666666667,811.666666667,774.333333333,765.0,753.666666667,649.666666667,645.333333333,683.0,844.0,685.666666667,777.333333333,713.666666667,751.333333333,787.333333333,843.0,650.666666667,754.333333333,831.666666667,863.0,702.333333333,805.666666667,788.666666667,776.0,1053.66666667,831.666666667,921.333333333,562.666666667,858.0
2017-02-15 13:10:00+08:00,643.5,713.0,741.5,797.0,752.0,627.5,623.5,735.700012207,699.714294434,717.800048828,902.200073242,642.400024414,607.100036621,536.100036621,764.300018311,624.300018311,805.5,844.5,773.5,929.5,800.5,841.5,986.0,825.5,925.0,887.5,840.5,801.0,819.5,773.0,789.0,778.0,656.5,647.0,686.0,854.0,684.5,775.5,711.0,749.5,814.0,862.5,663.0,750.5,825.0,861.5,700.0,801.5,796.0,774.0,1088.0,826.5,919.5,562.5,863.0
2017-02-15 13:15:00+08:00,639.666666667,712.0,746.0,795.666666667,749.0,627.333333333,619.0,732.933349609,698.523803711,711.533365885,886.666707357,638.666687012,604.000020345,538.866739909,757.466674805,624.666687012,804.333333333,843.0,775.333333333,934.0,807.666666667,842.666666667,969.333333333,806.0,912.0,884.333333333,822.666666667,804.333333333,819.333333333,773.333333333,803.0,794.333333333,666.666666667,647.333333333,682.333333333,865.666666667,687.666666667,770.0,710.333333333,748.0,827.333333333,874.0,677.0,751.666666667,821.333333333,864.0,694.333333333,801.666666667,789.666666667,775.666666667,1086.33333333,822.333333333,909.666666667,560.0,861.333333333
