Location,Block10,Block3,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,DOAS1,DOAS1,DOAS2,DOAS3,DOAS4,FCU1,FCU2,FCU3,FCU4,FinanceOffice1,FinanceOffice1,FinanceOffice1,FinanceOffice2,FinanceOffice2,FinanceOffice2,FinanceOffice3,FinanceOffice3,FinanceOffice3,FinanceSecretary,FinanceSecretary,HRDirector,HRDirector,HRDirector,HRMeeting,HRMeeting,HRMeeting,HROffice1,HROffice1,HROffice2,HROffice2,HeadofSchool,HeadofSchool,HeadofSchool,HeadofSchoolSecretary,HeadofSchoolSecretary,HeadofSchoolSecretary,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,Pantry,Pantry,Pantry,Pantry,Pantry
DeviceNum,Num0,Num0,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num0,Num0,Num0,Num0,Num0,Num0,Num0,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num3,Num4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-18 16:30:00+08:00,,,506.0,596.0,625.0,636.0,485.0,572.0,531.0,592.0,564.428588867,479.0,583.0,426.0,530.799987793,527.0,565.200012207,482.799987793,547.0,604.0,517.0,694.0,574.0,633.0,743.0,578.0,684.0,571.0,554.0,609.0,640.0,645.0,597.0,599.0,497.0,504.0,578.0,675.0,578.0,662.0,602.0,610.0,626.0,703.0,486.0,554.0,615.0,631.0,520.0,618.0,556.0,547.0,755.0,530.0,629.0,815.0,516.0
2017-02-18 16:35:00+08:00,,,506.333333333,598.666666667,622.333333333,632.333333333,486.0,574.0,530.0,590.933329264,564.2380778,481.333333333,582.266682943,424.666666667,534.600036621,530.333333333,564.266682943,480.799987793,542.0,606.0,513.666666667,692.333333333,573.0,633.333333333,746.333333333,579.666666667,686.666666667,572.0,551.333333333,610.333333333,641.0,644.333333333,595.333333333,598.0,496.666666667,503.333333333,571.666666667,679.666666667,577.666666667,662.333333333,604.333333333,610.333333333,624.666666667,702.666666667,489.333333333,555.0,612.666666667,631.0,521.0,619.333333333,559.0,542.666666667,750.333333333,533.333333333,632.333333333,817.0,517.0
2017-02-18 16:40:00+08:00,,,509.5,600.5,622.5,631.5,489.5,570.5,530.0,593.399993897,564.857147217,482.399993897,582.299987793,422.0,534.000030517,529.5,559.700012207,481.299987793,540.5,602.5,512.0,690.0,571.0,634.5,749.5,578.0,685.0,571.0,549.5,611.0,639.5,648.0,596.5,599.0,496.0,506.0,561.5,677.0,577.0,659.5,602.0,606.5,626.5,702.5,486.5,554.5,611.5,626.5,519.5,617.5,554.0,546.5,751.0,533.0,630.0,825.5,517.0
2017-02-18 16:45:00+08:00,,,506.333333333,598.666666667,620.0,628.333333333,494.0,569.666666667,526.0,591.933329264,563.285705566,482.666666667,580.933349609,422.400004069,532.600036621,528.266682943,562.733357747,479.133321126,540.333333333,599.666666667,511.666666667,689.666666667,568.666666667,632.0,747.0,576.333333333,684.0,570.666666667,547.333333333,608.666666667,640.333333333,646.0,596.333333333,597.0,494.666666667,502.666666667,558.0,675.666666667,577.666666667,660.333333333,604.0,601.333333333,627.666666667,702.0,486.666666667,550.333333333,614.333333333,625.0,515.333333333,616.0,552.0,547.666666667,751.0,532.0,622.333333333,818.666666667,517.0
2017-02-18 16:50:00+08:00,,,504.5,593.0,619.5,629.5,493.0,568.5,525.5,591.899993897,561.92855835,485.399993897,581.400024414,423.5,532.600036621,529.400024414,561.600006103,476.200012207,535.0,597.0,511.0,690.0,571.5,629.0,749.0,575.0,680.5,566.0,546.5,608.5,640.5,645.0,594.5,599.0,496.0,501.0,557.5,679.0,578.0,659.5,601.0,603.5,625.5,698.5,483.5,544.5,610.0,627.0,518.5,614.0,551.0,543.5,746.0,527.5,627.0,815.5,516.0
2017-02-18 16:55:00+08:00,,,500.0,597.666666667,623.0,630.0,492.666666667,567.666666667,524.666666667,593.733337402,562.238098145,481.333333333,578.333333333,421.333333333,531.533365885,528.333333333,560.266682943,475.199991862,538.0,598.0,509.333333333,690.666666667,568.0,629.666666667,743.333333333,573.333333333,680.333333333,569.666666667,544.0,604.0,637.333333333,644.666666667,589.666666667,599.0,495.666666667,502.0,558.666666667,676.0,581.0,661.0,605.0,601.0,625.0,701.666666667,483.666666667,546.666666667,611.666666667,626.333333333,515.333333333,615.0,548.666666667,542.333333333,749.0,527.666666667,625.0,813.333333333,512.666666667
2017-02-18 17:00:00+08:00,,,503.0,598.0,623.0,631.5,494.0,567.0,526.5,590.299987793,563.285736084,480.5,575.5,421.0,531.100036621,527.5,557.700012207,471.299987793,539.0,596.0,511.0,686.0,570.0,629.0,740.0,571.5,680.5,568.0,544.0,605.0,638.0,640.5,592.5,599.0,494.5,501.5,564.5,675.0,580.5,662.0,607.5,606.5,623.0,697.0,483.0,550.0,615.0,627.5,513.0,614.0,550.0,542.5,746.5,525.5,620.5,809.5,511.0
2017-02-18 17:05:00+08:00,,,501.666666667,598.666666667,619.0,631.333333333,493.666666667,568.666666667,524.666666667,591.333333333,562.523824056,481.666666667,573.333333333,419.599995931,534.866699219,529.0,556.200012207,470.266662598,536.0,596.0,510.0,683.666666667,568.333333333,630.333333333,738.666666667,571.0,680.666666667,568.666666667,544.0,609.666666667,640.0,640.0,592.333333333,594.666666667,492.666666667,503.333333333,562.666666667,672.0,576.666666667,658.333333333,604.333333333,604.666666667,621.333333333,696.0,480.666666667,548.666666667,610.666666667,621.333333333,513.0,612.666666667,547.666666667,542.333333333,745.0,525.666666667,620.333333333,799.666666667,508.0
2017-02-18 17:10:00+08:00,,,499.0,601.5,620.0,630.0,496.5,566.0,527.5,591.899993897,562.928588867,486.100006103,578.299987793,417.899993897,534.900024414,529.0,554.700012207,467.299987793,533.0,597.0,507.5,684.5,566.0,629.0,739.5,571.0,676.0,565.0,541.0,610.5,638.0,639.0,595.0,593.0,494.0,502.0,562.5,674.0,574.0,660.0,608.5,600.5,624.0,696.0,482.5,548.5,610.0,619.0,514.0,610.0,544.0,540.0,745.0,523.0,619.0,816.5,511.0
2017-02-18 17:15:00+08:00,,,498.333333333,596.0,617.666666667,627.0,491.0,568.0,528.666666667,590.866658529,560.952372233,483.933329264,571.266682943,415.666666667,534.866699219,532.400024414,553.000020345,466.866658529,534.333333333,597.666666667,507.666666667,683.333333333,563.333333333,624.666666667,735.0,569.0,676.0,562.666666667,542.333333333,605.333333333,638.666666667,640.333333333,592.333333333,592.0,497.0,503.666666667,564.333333333,674.333333333,573.666666667,659.666666667,607.333333333,605.333333333,622.333333333,699.333333333,482.666666667,547.333333333,610.666666667,622.0,511.0,611.0,543.333333333,539.0,742.333333333,525.333333333,620.0,828.666666667,508.0
2017-02-18 17:20:00+08:00,,,498.5,590.5,619.5,630.5,488.5,567.5,524.5,593.100006103,559.92855835,484.0,570.900024414,415.5,537.400024414,533.0,552.5,462.799987793,534.5,597.0,505.5,681.0,563.5,626.5,732.0,567.5,674.5,563.5,541.0,604.0,635.5,640.5,592.5,595.0,492.5,504.0,563.0,673.5,573.0,657.0,604.5,604.5,623.0,701.0,482.5,546.5,608.0,619.5,511.5,610.5,543.0,541.5,741.0,520.0,618.0,821.5,507.5
2017-02-18 17:25:00+08:00,,,499.666666667,594.666666667,619.333333333,632.666666667,493.333333333,566.666666667,522.333333333,592.0,561.238098145,483.266662598,570.466715495,414.333333333,536.533365885,534.0,551.53334554,462.799987793,533.666666667,591.666666667,503.666666667,679.333333333,561.666666667,622.0,728.333333333,565.0,677.333333333,561.666666667,539.0,607.333333333,633.666666667,641.333333333,591.666666667,594.333333333,491.0,502.0,562.0,676.666666667,574.0,657.666666667,606.0,598.333333333,620.333333333,698.0,482.0,543.333333333,609.333333333,618.666666667,512.333333333,609.333333333,548.0,537.0,744.0,521.0,615.666666667,812.666666667,507.0
2017-02-18 17:30:00+08:00,,,498.0,592.5,619.5,634.0,488.5,565.5,523.5,590.399993897,560.214294434,483.299987793,567.5,413.5,537.100036621,531.5,549.800018311,461.300018311,531.0,594.0,502.0,678.0,560.5,623.5,730.5,569.5,677.5,561.0,535.0,603.5,634.5,643.0,589.0,596.5,493.5,499.0,564.0,677.0,576.5,656.5,605.5,602.5,618.5,696.0,481.0,546.0,604.0,618.0,509.5,607.0,545.5,531.5,742.5,520.5,611.0,816.5,503.0
2017-02-18 17:35:00+08:00,,,498.333333333,593.666666667,616.0,630.0,486.333333333,563.666666667,524.0,591.266662598,558.857157389,482.533325195,569.0,413.0,534.200032552,535.0,548.53334554,461.400004069,530.333333333,594.0,503.0,677.666666667,560.666666667,622.666666667,735.0,567.0,674.0,555.333333333,536.0,604.666666667,632.666666667,639.666666667,588.666666667,590.0,494.0,496.0,564.0,672.333333333,577.666666667,658.666666667,600.666666667,601.0,619.666666667,694.666666667,480.333333333,541.666666667,600.666666667,615.333333333,509.333333333,606.333333333,544.666666667,528.666666667,738.333333333,517.0,611.666666667,812.666666667,504.333333333
2017-02-18 17:40:00+08:00,,,497.5,592.0,619.0,632.0,486.5,562.0,524.0,593.5,559.0,484.5,567.0,411.0,538.600036621,532.0,544.900024414,459.299987793,529.0,591.5,507.5,678.5,559.5,621.5,729.0,565.5,674.5,553.0,534.0,603.5,632.5,641.0,588.0,587.0,494.0,497.5,564.5,674.0,573.5,659.5,601.0,600.5,618.5,691.5,479.5,543.0,600.0,615.5,507.5,606.5,541.0,531.0,741.0,519.0,610.5,809.0,501.5
2017-02-18 17:45:00+08:00,,,497.666666667,590.666666667,620.333333333,631.0,491.666666667,560.666666667,526.333333333,595.400004069,559.761922201,485.333333333,566.266682943,410.266662598,537.266703288,535.0,545.266682943,459.133341471,529.0,590.333333333,505.333333333,676.666666667,559.0,620.666666667,730.333333333,564.333333333,671.666666667,554.666666667,532.666666667,604.0,633.666666667,639.333333333,588.333333333,588.333333333,493.0,497.666666667,568.0,670.0,572.0,660.666666667,604.0,597.666666667,620.0,693.0,479.333333333,541.666666667,600.0,616.666666667,507.666666667,606.333333333,541.0,532.666666667,739.333333333,518.333333333,616.333333333,813.333333333,505.0
2017-02-18 17:50:00+08:00,,,495.5,589.0,614.0,631.0,491.0,560.0,526.0,594.5,558.07144165,486.5,565.400024414,411.399993897,536.500030517,533.5,544.700012207,456.799987793,528.5,591.5,503.0,674.5,553.0,620.5,732.0,564.5,670.0,557.0,533.5,600.0,634.5,642.5,589.0,589.0,494.0,497.0,566.5,674.5,571.5,662.0,603.0,599.5,618.5,693.0,480.5,538.0,600.0,615.5,507.5,605.5,546.0,531.5,736.0,520.0,614.5,810.5,501.5
2017-02-18 17:55:00+08:00,,,496.333333333,589.333333333,613.333333333,630.666666667,490.666666667,561.333333333,524.666666667,593.266662598,558.047627767,485.666666667,563.666666667,409.333333333,537.46669515,534.666666667,544.866678874,454.799987793,526.0,591.0,502.666666667,673.0,552.666666667,618.0,728.666666667,560.333333333,671.333333333,555.333333333,533.333333333,600.666666667,634.0,643.333333333,588.333333333,589.0,492.666666667,496.666666667,565.666666667,671.333333333,575.0,659.0,604.666666667,601.333333333,616.333333333,691.0,481.0,536.666666667,602.0,614.333333333,508.333333333,606.333333333,541.333333333,533.0,737.666666667,518.666666667,607.333333333,805.666666667,503.0
2017-02-18 18:00:00+08:00,,,499.5,589.0,614.5,628.0,489.5,560.0,520.5,593.0,557.285736084,486.5,561.5,407.5,535.700012207,534.5,542.700012207,451.299987793,523.0,588.5,501.5,670.5,553.0,615.0,729.0,559.5,671.5,554.0,533.5,601.0,629.5,639.5,588.5,587.0,491.5,497.5,569.5,673.0,573.5,660.0,604.0,599.5,615.5,692.0,477.5,536.0,604.5,616.5,505.0,606.5,536.5,531.5,735.0,517.5,607.5,803.0,504.0
2017-02-18 18:05:00+08:00,,,497.333333333,591.333333333,615.0,628.0,487.333333333,561.0,519.333333333,592.46665446,557.142862956,486.333333333,562.666666667,404.933329264,536.266703288,536.200032552,540.466674805,450.133321126,527.0,589.666666667,498.666666667,672.333333333,553.333333333,614.333333333,729.666666667,562.0,673.0,550.666666667,531.333333333,601.666666667,631.0,638.666666667,586.333333333,590.333333333,493.666666667,499.333333333,568.0,670.333333333,572.0,660.333333333,603.333333333,599.333333333,616.333333333,692.666666667,476.666666667,538.0,604.333333333,615.0,506.333333333,602.666666667,536.666666667,524.666666667,736.0,514.0,606.0,807.0,501.666666667
2017-02-18 18:10:00+08:00,,,498.5,591.5,613.5,626.0,490.0,560.5,520.0,593.0,557.142852783,487.5,562.0,406.399993897,537.500030517,538.0,540.200012207,448.299987793,526.0,584.0,497.0,672.5,557.5,615.5,730.5,555.0,671.5,549.5,530.0,603.5,630.0,640.5,586.0,592.0,491.5,496.5,568.5,671.0,575.0,659.5,603.0,599.0,619.5,694.5,476.5,539.0,600.5,615.0,503.5,605.0,539.0,529.5,733.0,514.5,606.5,815.5,501.5
