Location,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,FinanceOffice1,FinanceOffice1,FinanceOffice1,FinanceOffice2,FinanceOffice2,FinanceOffice2,FinanceOffice3,FinanceOffice3,FinanceOffice3,FinanceSecretary,FinanceSecretary,HRDirector,HRDirector,HRDirector,HRMeeting,HRMeeting,HRMeeting,HROffice1,HROffice1,HROffice2,HROffice2,HeadofSchool,HeadofSchool,HeadofSchool,HeadofSchoolSecretary,HeadofSchoolSecretary,HeadofSchoolSecretary,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,Pantry,Pantry,Pantry,Pantry,Pantry
DeviceNum,Num0,Num1,Num2,Num3,Num4,Num5,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num3,Num4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-29 13:20:00+08:00,58.0,58.0,60.0,61.0,61.0,57.0,56.0,56.0,55.0,58.0,56.0,55.0,53.0,53.0,54.0,57.0,56.0,59.0,58.0,58.0,58.0,58.0,59.0,58.0,56.0,60.0,57.0,57.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,59.0,60.0,58.0,59.0,62.0,60.0,59.0,61.0,60.0
2016-12-29 13:25:00+08:00,58.0,58.3333333333,59.0,61.0,61.0,57.0,56.0,56.0,55.0,58.0,56.0,54.3333333333,53.3333333333,53.0,54.3333333333,57.0,57.0,59.0,58.0,58.0,57.3333333333,58.0,59.0,58.0,56.0,60.0,57.0,57.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,59.0,60.0,58.0,58.6666666667,61.0,60.0,59.0,61.0,60.0
2016-12-29 13:30:00+08:00,58.0,59.0,59.5,61.0,61.0,57.0,56.0,56.0,55.0,58.0,56.5,54.0,53.0,53.0,54.5,57.0,57.0,59.0,58.0,58.0,57.0,58.0,59.0,57.5,55.0,60.0,57.0,57.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,64.0,59.0,60.0,57.0,59.0,61.0,61.0,59.0,62.0,60.0
2016-12-29 13:35:00+08:00,58.0,58.6666666667,59.0,61.0,61.0,57.0,56.0,56.0,55.6666666667,58.0,57.0,54.0,54.0,53.3333333333,55.0,57.0,57.0,59.0,58.0,58.0,57.3333333333,58.0,59.0,57.6666666667,56.0,60.0,57.0,57.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.3333333333,59.3333333333,60.0,57.6666666667,58.6666666667,61.6666666667,60.0,59.0,61.3333333333,60.0
2016-12-29 13:40:00+08:00,58.0,58.5,59.0,61.0,61.0,57.0,56.0,56.5,56.0,58.0,57.0,54.5,54.0,53.5,55.0,57.0,57.0,59.0,58.0,58.0,58.0,58.0,59.0,57.0,56.0,60.0,57.5,57.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,59.5,60.0,58.0,58.5,63.5,60.0,59.0,63.0,60.0
2016-12-29 13:45:00+08:00,58.0,59.0,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.6666666667,54.0,54.0,55.0,57.0,57.0,59.0,58.0,58.0,58.0,58.6666666667,59.0,57.6666666667,56.0,61.0,58.0,57.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,60.0,60.0,58.0,59.0,63.3333333333,60.0,59.0,62.6666666667,60.0
2016-12-29 13:50:00+08:00,58.0,59.0,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,54.0,55.5,57.0,57.0,59.0,58.0,58.0,58.0,59.0,59.0,58.0,56.0,61.0,57.5,57.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,59.5,60.0,57.5,59.0,63.0,60.0,59.0,62.0,60.0
2016-12-29 13:55:00+08:00,58.0,58.0,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,54.0,55.0,57.0,57.0,59.0,58.0,58.0,58.0,59.0,59.0,58.0,57.0,61.0,58.0,57.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,59.3333333333,60.0,57.6666666667,58.6666666667,64.0,60.0,58.6666666667,61.3333333333,60.0
2016-12-29 14:00:00+08:00,58.0,58.0,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,54.0,55.0,57.5,57.0,59.0,58.0,58.0,58.0,59.0,59.0,58.0,57.0,61.0,58.0,56.5,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,59.0,60.0,58.0,58.0,64.5,60.0,59.0,62.0,60.0
2016-12-29 14:05:00+08:00,58.0,58.6666666667,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,54.0,55.0,57.6666666667,57.0,59.0,58.0,58.0,58.0,59.0,59.0,58.3333333333,56.6666666667,61.0,57.3333333333,57.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,59.0,60.0,57.0,58.0,61.6666666667,60.0,59.0,62.0,60.0
2016-12-29 14:10:00+08:00,58.0,58.0,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,54.0,55.0,57.0,57.0,59.0,58.0,58.0,58.0,59.0,59.0,58.5,56.0,61.0,57.0,56.5,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.0,59.0,60.0,57.0,58.5,62.5,60.0,59.0,61.0,60.0
2016-12-29 14:15:00+08:00,58.0,58.3333333333,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,54.0,54.6666666667,57.0,56.0,59.0,58.0,58.0,58.6666666667,59.0,59.0,58.0,56.0,61.0,57.0,56.3333333333,56.0,60.0,58.0,58.0,57.0,61.0,60.0,63.3333333333,59.0,60.0,57.0,58.0,61.6666666667,60.0,58.6666666667,61.3333333333,59.0
2016-12-29 14:20:00+08:00,58.0,58.5,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,53.0,54.0,57.0,56.0,59.0,58.0,58.0,59.0,60.0,59.0,58.5,55.0,61.5,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,64.0,59.0,60.0,57.0,59.0,63.0,60.0,58.5,61.5,59.5
2016-12-29 14:25:00+08:00,58.0,58.6666666667,59.0,61.0,61.0,57.0,57.0,57.0,56.0,58.0,57.0,54.0,54.0,53.0,54.0,57.0,56.0,59.0,58.0,58.0,59.0,60.0,59.0,58.0,55.0,61.6666666667,57.0,56.0,56.0,60.0,58.0,58.0,57.0,61.0,60.0,64.0,59.3333333333,60.0,57.0,58.3333333333,62.3333333333,60.0,58.0,61.6666666667,59.0
