Location,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,FinanceOffice1,FinanceOffice1,FinanceOffice1,FinanceOffice2,FinanceOffice2,FinanceOffice2,FinanceOffice3,FinanceOffice3,FinanceOffice3,FinanceSecretary,FinanceSecretary,HRDirector,HRDirector,HRDirector,HRMeeting,HRMeeting,HRMeeting,HROffice1,HROffice1,HROffice2,HROffice2,HeadofSchool,HeadofSchool,HeadofSchool,HeadofSchoolSecretary,HeadofSchoolSecretary,HeadofSchoolSecretary,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,Pantry,Pantry,Pantry,Pantry,Pantry
DeviceNum,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num3,Num4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-09 12:35:00+08:00,23.0066661835,22.606666565,22.1333325704,22.4266662598,22.5666662852,21.8666655223,23.0266653697,22.6266657511,22.7666664124,22.4533322652,22.2533327738,22.6133327484,22.6399993896,22.6866664887,22.6599998474,22.7266661326,22.4999993642,22.4066664378,22.6333325704,22.4866663615,22.5733331044,22.5266653697,22.5799999237,22.2999992371,22.413333257,22.9200000763,21.8466663361,21.6066659291,22.4066664378,22.4866663615,21.2266661326,22.5466658274,22.2199993134,22.473332723,22.6533330281,22.5333321889,21.8199996948,22.8066660563,22.2999992371,22.3266665141,22.473332723,22.7600002289,22.3133328756,22.5399990082,22.6533330281,22.5733331044
2017-02-09 12:40:00+08:00,23.0299987793,22.6099996567,22.1599998474,22.4299993515,22.549999237,21.8699989319,23.0399990082,22.6399993896,22.7600002289,22.4699993134,22.2600002289,22.6399993896,22.6299991607,22.6599998474,22.6499996185,22.7099990845,22.4699993134,22.3899993897,22.6299991607,22.5,22.6000003815,22.5299987793,22.5799999237,22.3499994278,22.4200000763,22.9099998474,21.8400001526,21.6899995804,22.4299993515,22.4799995422,21.2299995422,22.5299987793,22.2099990845,22.4499988556,22.6599998474,22.549999237,21.8199996948,22.779999733,22.2600002289,22.2899990082,22.4599990845,22.7600002289,22.3400001526,22.5199985504,22.6700000763,22.6000003815
2017-02-09 12:45:00+08:00,23.0533326467,22.6000003815,22.1933326721,22.4399986267,22.5533326467,21.8666655223,23.0399990082,22.6466662089,22.7600002289,22.4533322652,22.2666664124,22.6533330281,22.6266657511,22.6533330281,22.6399993896,22.6733334859,22.4333324432,22.38666598,22.6466662089,22.5333321889,22.6333325704,22.5199991862,22.5799999237,22.3799991608,22.4066664378,22.866666158,21.8533331553,21.7199993134,22.4266662598,22.4866663615,21.2533334096,22.4666659037,22.1666666667,22.4266662598,22.6599998474,22.5533326467,21.8133328756,22.7599995931,22.2399991354,22.2999992371,22.4599990845,22.7733332316,22.3533325195,22.5199985504,22.6733334859,22.6266657511
2017-02-09 12:50:00+08:00,23.0900001526,22.6099996567,22.2199993134,22.4399986267,22.549999237,21.859998703,23.049999237,22.6399993896,22.75,22.4399986267,22.2899990082,22.6599998474,22.5900001526,22.6299991607,22.6199989319,22.6599998474,22.3799991608,22.3699989319,22.6599998474,22.5399990082,22.6499996185,22.6299991607,22.5599994659,22.4599990845,22.4099998474,22.859998703,21.8799991608,21.7199993134,22.4200000763,22.5,21.2799987793,22.4399995804,22.1499996185,22.4299993515,22.6700000763,22.5199985504,21.8299999237,22.7199993134,22.2299995422,22.2999992371,22.4699993134,22.7699995041,22.3400001526,22.549999237,22.6700000763,22.6299991607
2017-02-09 12:55:00+08:00,23.0799999237,22.6000003815,22.2533334096,22.4533322652,22.5333321889,21.8666655223,23.0599994659,22.6266657511,22.7399997711,22.4399986267,22.2999992371,22.6933326721,22.6466662089,22.6333325704,22.6266657511,22.6399993896,22.3599993388,22.3733323415,22.6733334859,22.5599994659,22.6533330281,22.6599998474,22.5866661072,22.513332367,22.413333257,22.8533325195,21.8933327993,21.7399997711,22.4266662598,22.5199985504,21.2933324178,22.4199994405,22.1999994914,22.4666659037,22.6666666667,22.5533326467,21.8199996948,22.6999988556,22.2133324941,22.3133328756,22.4266662598,22.7466659546,22.3466663361,22.5666662852,22.6799996694,22.6333325704
2017-02-09 13:00:00+08:00,23.1099996567,22.6099996567,22.2600002289,22.4499988556,22.5199985504,21.8799991608,23.0900001526,22.6199989319,22.7399997711,22.4299993515,22.3199996948,22.7299995422,22.6999998093,22.6099996567,22.6199989319,22.6299991607,22.3499994278,22.359998703,22.6800003052,22.5599994659,22.6800003052,22.6700000763,22.6099996567,22.5399990082,22.4200000763,22.9099998474,21.8899993897,21.75,22.4399986267,22.5199985504,21.3099994659,22.4799995422,22.2600002289,22.5099992752,22.6599998474,22.5599994659,21.8199996948,22.7399997711,22.2299995422,22.2999992371,22.4299993515,22.75,22.3499994278,22.6099996567,22.6700000763,22.6399993896
2017-02-09 13:05:00+08:00,23.1199989319,22.6000003815,22.2733325958,22.4599990845,22.5199985504,21.8733323415,23.1133327484,22.6266657511,22.7333329519,22.4399986267,22.3333333333,22.7399997711,22.7266661326,22.6133327484,22.6399993896,22.6133333842,22.3733323415,22.3533325195,22.6999988556,22.5933335622,22.6733328501,22.6199989319,22.6266657511,22.5199991862,22.4066664378,22.8466663361,21.8933327993,21.7666657766,22.4599990845,22.5199985504,21.3066660563,22.5466658274,22.2933330536,22.5933329264,22.6399993896,22.5599994659,21.8466663361,22.7533334096,22.2600002289,22.3333333333,22.4599990845,22.8199996948,22.38666598,22.6266657511,22.6933333079,22.6733328501
2017-02-09 13:10:00+08:00,23.1399993896,22.6199989319,22.3199996948,22.4599990845,22.5199985504,21.859998703,23.1000003815,22.6199989319,22.7199993134,22.4199991226,22.3299999237,22.7600002289,22.75,22.6000003815,22.6399993896,22.6000003815,22.3799991608,22.3400001526,22.6999988556,22.6000003815,22.6499996185,22.5900001526,22.6199989319,22.5199995041,22.4099998474,22.9299993515,21.9099998474,22.1999998093,22.4499988556,22.5199985504,21.3199996948,22.5699996948,22.3400001526,22.6399993896,22.6399993896,22.5699996948,21.859998703,22.7600002289,22.2899990082,22.3699989319,22.4999990463,22.8699998856,22.3599996567,22.6599998474,22.6999988556,22.7199993134
