Location,Block10,Block10,Block3,Block3,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,FinanceOffice1,FinanceOffice1,FinanceOffice1,FinanceOffice2,FinanceOffice2,FinanceOffice2,FinanceOffice3,FinanceOffice3,FinanceOffice3,FinanceSecretary,FinanceSecretary,HRDirector,HRDirector,HRDirector,HRMeeting,HRMeeting,HRMeeting,HROffice1,HROffice1,HROffice2,HROffice2,HeadofSchool,HeadofSchool,HeadofSchool,HeadofSchoolSecretary,HeadofSchoolSecretary,HeadofSchoolSecretary,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,Pantry,Pantry,Pantry,Pantry,Pantry
DeviceNum,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num3,Num4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-18 16:35:00+08:00,,,,,24.9399986267,24.3799991608,24.2199993134,24.2399997711,24.7199993134,24.4299993515,24.8099994659,24.8899993897,25.1399993896,25.2199993134,24.9299993515,25.2899990082,25.4799995422,24.5799999237,25.1000003815,25.2099990845,24.1199989319,24.8999996185,24.25,24.0,24.5199985504,25.8499994278,25.859998703,26.2699995041,24.9899997711,25.3999996185,25.1399993896,25.1099996567,24.6099996567,24.3499994278,25.2999992371,23.8499994278,23.6199989319,24.1899995804,24.3999996185,24.2399997711,24.1399993896,24.8799991608,24.6099996567,24.4199991226,24.6199989319,24.6999988556,24.7899990082,24.7799987793,24.7099990845,24.8199996948
2017-02-18 16:40:00+08:00,,,,,24.9599990845,24.3799991608,24.2399997711,24.25,24.7099990845,24.4099998474,24.8099994659,24.9099998474,25.1499996185,25.2099990845,24.9399986267,25.2799987793,25.4799995422,24.5900001526,25.1099996567,25.2099990845,24.1199989319,24.8999996185,24.2600002289,24.0,24.5299987793,25.8799991608,25.8699989319,26.2099990845,24.9899997711,25.4099998474,25.1499996185,25.1199989319,24.6299991607,24.359998703,25.2899990082,23.859998703,23.6399993896,24.1700000763,24.3899993897,24.2399997711,24.1499996185,24.8799991608,24.6299991607,24.4099998474,24.6099996567,24.6999988556,24.7699995041,24.7999992371,24.7099990845,24.8199996948
2017-02-18 16:45:00+08:00,,,,,24.9533322652,24.3799991608,24.2399997711,24.2466665904,24.7133324941,24.4200000763,24.8133328756,24.913333257,25.1466662089,25.2133324941,24.9533322652,25.3066660563,25.4866663615,24.5933335622,25.106666565,25.2266661326,24.1266657511,24.9066664378,24.2600002289,23.9866663615,24.5333321889,25.8733323415,25.8799991608,26.2799994151,25.0066661835,25.426665624,25.1533330281,25.1133327484,24.6199989319,24.3666655223,25.2866655986,23.8533325195,23.6399993896,24.1866664887,24.3933327993,24.2399997711,24.1333325704,24.8733323415,24.606666565,24.4200000763,24.606666565,24.7133324941,24.7799987793,24.7933324178,24.6999988556,24.8266665141
2017-02-18 16:50:00+08:00,,,,,24.9699993134,24.3999996185,24.2399997711,24.2399997711,24.7099990845,24.4200000763,24.8299999237,24.9200000763,25.1499996185,25.2199993134,24.9599990845,25.2999992371,25.4899997711,24.6099996567,25.1000003815,25.2099990845,24.1299991607,24.9200000763,24.2399997711,24.0099992752,24.5399990082,25.8899993897,25.8799991608,26.2699995041,25.0199985504,25.4099998474,25.1599998474,25.1000003815,24.6399993897,24.3699989319,25.2999992371,23.8699989319,23.6299991607,24.1899995804,24.3899993897,24.2600002289,24.1399993896,24.8799991608,24.6099996567,24.4299993515,24.6099996567,24.6999988556,24.7599992752,24.7799987793,24.6999988556,24.8299999237
2017-02-18 16:55:00+08:00,,,,,24.9666659037,24.3999996185,24.2399997711,24.2533334096,24.7266661326,24.4200000763,24.8266665141,24.9200000763,25.1666666667,25.2199993134,24.9599990845,25.2933324178,25.5,24.6000003815,25.1000003815,25.2133324941,24.1266657511,24.9333324432,24.2733325958,24.0266653697,24.5333321889,25.8666655223,25.8999996185,26.2533327739,25.0133323669,25.4266662598,25.1599998474,25.1199995677,24.6333325704,24.3733323415,25.2999992371,23.8799991608,23.5999997457,24.2066656749,24.3999996185,24.2399997711,24.1333325704,24.8666655223,24.6000003815,24.4266662598,24.6133333842,24.7066656749,24.7866655986,24.7866655986,24.7066656749,24.8400001526
2017-02-18 17:00:00+08:00,,,,,24.9599990845,24.4099998474,24.2699995041,24.2600002289,24.7299995422,24.4399995804,24.8199996948,24.9199991226,25.1700000763,25.2299995422,24.9599990845,25.2999992371,25.5,24.6099996567,25.1099996567,25.2199993134,24.1299991607,24.9299993515,24.2600002289,24.0199985504,24.549999237,25.8899993897,25.8999996185,26.2499990463,25.0099992752,25.4200000763,25.1700000763,25.1199998856,24.6299991607,24.359998703,25.2699995041,23.8799991608,23.6199989319,24.1899995804,24.3999996185,24.2399997711,24.1299991607,24.8699989319,24.6199989319,24.4200000763,24.6000003815,24.6899995804,24.7799987793,24.7799987793,24.7199993134,24.8299999237
2017-02-18 17:05:00+08:00,,,,,24.9666659037,24.413333257,24.2600002289,24.2666664124,24.7399997711,24.446665446,24.8533325195,24.913333257,25.1666666667,25.2266661326,24.9666659037,25.2999992371,25.5066661835,24.606666565,25.1133327484,25.2199993134,24.1266657511,24.9399986267,24.2600002289,24.0199985504,24.5466658274,25.8933327993,25.8999996185,26.2399997711,25.0133323669,25.3999996185,25.1666666667,25.1133327484,24.6399993896,24.3799991608,25.3066660563,23.8799991608,23.6399993896,24.2133324941,24.3933327993,24.2399997711,24.1266657511,24.8733323415,24.5933335622,24.413333257,24.606666565,24.7066656749,24.7799994151,24.7799987793,24.7066656749,24.8199996948
2017-02-18 17:10:00+08:00,,,,,24.9799995422,24.4099998474,24.2600002289,24.2899990082,24.7299995422,24.4200000763,24.8199996948,24.9299993515,25.1700000763,25.2399997711,24.9599990845,25.3199996948,25.4999990463,24.6199989319,25.1199998856,25.2299995422,24.1299991607,24.9299993515,24.2699995041,24.0299987793,24.549999237,25.8899993897,25.8899993897,26.3099994659,25.0099992752,25.4399995804,25.1599998474,25.1199989319,24.6399993896,24.3699989319,25.3799991608,23.8899993897,23.6299991607,24.1899995804,24.3899993897,24.25,24.1299991607,24.8799991608,24.6199989319,24.4299993515,24.6000003815,24.6999988556,24.7799987793,24.7799987793,24.7099990845,24.8400001526
