,Zones,Value,Occupancy Type,Unit
0,Zone 1,58.0,Working Hours,Rel. Humidity [%]
774,Zone 1,55.0,Working Hours,Rel. Humidity [%]
773,Zone 1,55.0,Working Hours,Rel. Humidity [%]
771,Zone 1,54.8333333333,Working Hours,Rel. Humidity [%]
770,Zone 1,54.7777777778,Working Hours,Rel. Humidity [%]
769,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
767,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
757,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
766,Zone 1,54.5555555556,Working Hours,Rel. Humidity [%]
765,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
775,Zone 1,55.1666666667,Working Hours,Rel. Humidity [%]
764,Zone 1,54.5555555556,Working Hours,Rel. Humidity [%]
762,Zone 1,54.5555555556,Working Hours,Rel. Humidity [%]
761,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
760,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
759,Zone 1,54.8333333333,Working Hours,Rel. Humidity [%]
758,Zone 1,55.2222222222,Working Hours,Rel. Humidity [%]
732,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
730,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
683,Zone 1,57.8333333333,Working Hours,Rel. Humidity [%]
729,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
763,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
704,Zone 1,56.1111111111,Working Hours,Rel. Humidity [%]
776,Zone 1,55.0,Working Hours,Rel. Humidity [%]
778,Zone 1,55.1666666667,Working Hours,Rel. Humidity [%]
748,Zone 1,54.8888888889,Working Hours,Rel. Humidity [%]
747,Zone 1,54.8333333333,Working Hours,Rel. Humidity [%]
746,Zone 1,55.0,Working Hours,Rel. Humidity [%]
745,Zone 1,55.0,Working Hours,Rel. Humidity [%]
744,Zone 1,55.0,Working Hours,Rel. Humidity [%]
743,Zone 1,55.0,Working Hours,Rel. Humidity [%]
742,Zone 1,54.7777777778,Working Hours,Rel. Humidity [%]
741,Zone 1,55.0,Working Hours,Rel. Humidity [%]
740,Zone 1,55.0,Working Hours,Rel. Humidity [%]
777,Zone 1,55.2222222222,Working Hours,Rel. Humidity [%]
739,Zone 1,55.0,Working Hours,Rel. Humidity [%]
737,Zone 1,55.0,Working Hours,Rel. Humidity [%]
736,Zone 1,55.1111111111,Working Hours,Rel. Humidity [%]
735,Zone 1,55.0,Working Hours,Rel. Humidity [%]
734,Zone 1,55.2222222222,Working Hours,Rel. Humidity [%]
733,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
754,Zone 1,55.0,Working Hours,Rel. Humidity [%]
755,Zone 1,55.0,Working Hours,Rel. Humidity [%]
756,Zone 1,55.5555555556,Working Hours,Rel. Humidity [%]
768,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
738,Zone 1,55.0,Working Hours,Rel. Humidity [%]
703,Zone 1,56.5,Working Hours,Rel. Humidity [%]
702,Zone 1,56.4444444444,Working Hours,Rel. Humidity [%]
701,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
724,Zone 1,55.5555555556,Working Hours,Rel. Humidity [%]
723,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
722,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
721,Zone 1,56.0,Working Hours,Rel. Humidity [%]
720,Zone 1,56.0,Working Hours,Rel. Humidity [%]
718,Zone 1,56.1111111111,Working Hours,Rel. Humidity [%]
708,Zone 1,56.0,Working Hours,Rel. Humidity [%]
717,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
716,Zone 1,56.1111111111,Working Hours,Rel. Humidity [%]
725,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
715,Zone 1,56.0,Working Hours,Rel. Humidity [%]
713,Zone 1,56.0,Working Hours,Rel. Humidity [%]
712,Zone 1,56.0,Working Hours,Rel. Humidity [%]
711,Zone 1,56.0,Working Hours,Rel. Humidity [%]
710,Zone 1,56.0,Working Hours,Rel. Humidity [%]
709,Zone 1,56.0,Working Hours,Rel. Humidity [%]
584,Zone 1,57.4444444444,Working Hours,Rel. Humidity [%]
582,Zone 1,59.3333333333,Working Hours,Rel. Humidity [%]
387,Zone 1,54.0,Working Hours,Rel. Humidity [%]
459,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
714,Zone 1,56.0,Working Hours,Rel. Humidity [%]
726,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
727,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
728,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
700,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
699,Zone 1,56.8333333333,Working Hours,Rel. Humidity [%]
698,Zone 1,56.5555555556,Working Hours,Rel. Humidity [%]
697,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
696,Zone 1,56.4444444444,Working Hours,Rel. Humidity [%]
695,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
694,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
693,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
692,Zone 1,56.8888888889,Working Hours,Rel. Humidity [%]
691,Zone 1,57.1111111111,Working Hours,Rel. Humidity [%]
690,Zone 1,57.1666666667,Working Hours,Rel. Humidity [%]
689,Zone 1,57.6666666667,Working Hours,Rel. Humidity [%]
688,Zone 1,57.5555555556,Working Hours,Rel. Humidity [%]
687,Zone 1,57.6666666667,Working Hours,Rel. Humidity [%]
686,Zone 1,57.5555555556,Working Hours,Rel. Humidity [%]
685,Zone 1,57.6666666667,Working Hours,Rel. Humidity [%]
684,Zone 1,57.6666666667,Working Hours,Rel. Humidity [%]
705,Zone 1,56.0,Working Hours,Rel. Humidity [%]
706,Zone 1,56.0,Working Hours,Rel. Humidity [%]
707,Zone 1,56.0,Working Hours,Rel. Humidity [%]
719,Zone 1,56.1666666667,Working Hours,Rel. Humidity [%]
749,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
750,Zone 1,54.4444444444,Working Hours,Rel. Humidity [%]
751,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
752,Zone 1,54.7777777778,Working Hours,Rel. Humidity [%]
673,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
672,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
671,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
670,Zone 1,56.7777777778,Working Hours,Rel. Humidity [%]
669,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
668,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
667,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
666,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
665,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
674,Zone 1,56.5555555556,Working Hours,Rel. Humidity [%]
664,Zone 1,56.8888888889,Working Hours,Rel. Humidity [%]
662,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
661,Zone 1,56.8333333333,Working Hours,Rel. Humidity [%]
660,Zone 1,56.8888888889,Working Hours,Rel. Humidity [%]
659,Zone 1,56.8333333333,Working Hours,Rel. Humidity [%]
633,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
632,Zone 1,55.2222222222,Working Hours,Rel. Humidity [%]
631,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
630,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
605,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
663,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
675,Zone 1,56.5,Working Hours,Rel. Humidity [%]
676,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
677,Zone 1,56.5,Working Hours,Rel. Humidity [%]
648,Zone 1,56.5555555555,Working Hours,Rel. Humidity [%]
647,Zone 1,56.5,Working Hours,Rel. Humidity [%]
646,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
645,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
644,Zone 1,56.2222222222,Working Hours,Rel. Humidity [%]
643,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
642,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
641,Zone 1,56.1666666667,Working Hours,Rel. Humidity [%]
640,Zone 1,56.1111111111,Working Hours,Rel. Humidity [%]
639,Zone 1,56.0,Working Hours,Rel. Humidity [%]
638,Zone 1,56.0,Working Hours,Rel. Humidity [%]
637,Zone 1,56.0,Working Hours,Rel. Humidity [%]
636,Zone 1,56.0,Working Hours,Rel. Humidity [%]
635,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
634,Zone 1,55.5555555556,Working Hours,Rel. Humidity [%]
655,Zone 1,56.5,Working Hours,Rel. Humidity [%]
657,Zone 1,56.8333333333,Working Hours,Rel. Humidity [%]
583,Zone 1,57.6666666667,Working Hours,Rel. Humidity [%]
658,Zone 1,57.0,Working Hours,Rel. Humidity [%]
679,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
678,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
604,Zone 1,56.8888888889,Working Hours,Rel. Humidity [%]
457,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
603,Zone 1,56.8333333333,Working Hours,Rel. Humidity [%]
601,Zone 1,57.0,Working Hours,Rel. Humidity [%]
624,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
623,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
622,Zone 1,55.5555555556,Working Hours,Rel. Humidity [%]
621,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
619,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
609,Zone 1,56.1666666667,Working Hours,Rel. Humidity [%]
618,Zone 1,55.7777777778,Working Hours,Rel. Humidity [%]
617,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
616,Zone 1,55.8888888889,Working Hours,Rel. Humidity [%]
625,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
615,Zone 1,56.0,Working Hours,Rel. Humidity [%]
613,Zone 1,55.8333333333,Working Hours,Rel. Humidity [%]
612,Zone 1,56.0,Working Hours,Rel. Humidity [%]
611,Zone 1,56.0,Working Hours,Rel. Humidity [%]
610,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
680,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
681,Zone 1,58.0,Working Hours,Rel. Humidity [%]
682,Zone 1,58.0,Working Hours,Rel. Humidity [%]
731,Zone 1,55.3333333333,Working Hours,Rel. Humidity [%]
753,Zone 1,55.0,Working Hours,Rel. Humidity [%]
614,Zone 1,56.0,Working Hours,Rel. Humidity [%]
626,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
627,Zone 1,55.5,Working Hours,Rel. Humidity [%]
628,Zone 1,55.4444444444,Working Hours,Rel. Humidity [%]
600,Zone 1,57.2222222222,Working Hours,Rel. Humidity [%]
599,Zone 1,57.1666666667,Working Hours,Rel. Humidity [%]
598,Zone 1,56.8888888889,Working Hours,Rel. Humidity [%]
597,Zone 1,56.5,Working Hours,Rel. Humidity [%]
596,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
595,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
594,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
593,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
592,Zone 1,56.7777777778,Working Hours,Rel. Humidity [%]
591,Zone 1,57.0,Working Hours,Rel. Humidity [%]
590,Zone 1,57.0,Working Hours,Rel. Humidity [%]
589,Zone 1,56.8333333333,Working Hours,Rel. Humidity [%]
588,Zone 1,57.3333333333,Working Hours,Rel. Humidity [%]
587,Zone 1,57.3333333333,Working Hours,Rel. Humidity [%]
586,Zone 1,57.3333333333,Working Hours,Rel. Humidity [%]
585,Zone 1,57.1666666667,Working Hours,Rel. Humidity [%]
606,Zone 1,56.6666666667,Working Hours,Rel. Humidity [%]
607,Zone 1,56.3333333333,Working Hours,Rel. Humidity [%]
608,Zone 1,56.1111111111,Working Hours,Rel. Humidity [%]
620,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
629,Zone 1,55.6666666667,Working Hours,Rel. Humidity [%]
602,Zone 1,56.8888888889,Working Hours,Rel. Humidity [%]
456,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
455,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
454,Zone 1,54.6666666667,Working Hours,Rel. Humidity [%]
577,Zone 1,60.0,Working Hours,Rel. Humidity [%]
576,Zone 1,60.0,Working Hours,Rel. Humidity [%]
575,Zone 1,60.0,Working Hours,Rel. Humidity [%]
574,Zone 1,60.0,Working Hours,Rel. Humidity [%]
573,Zone 1,60.3333333333,Working Hours,Rel. Humidity [%]
572,Zone 1,60.3333333333,Working Hours,Rel. Humidity [%]
570,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
560,Zone 1,61.0,Working Hours,Rel. Humidity [%]
569,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
578,Zone 1,60.0,Working Hours,Rel. Humidity [%]
568,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
566,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
565,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
564,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
563,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
562,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
561,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
535,Zone 1,61.0,Working Hours,Rel. Humidity [%]
533,Zone 1,61.0,Working Hours,Rel. Humidity [%]
486,Zone 1,59.0,Working Hours,Rel. Humidity [%]
567,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
579,Zone 1,60.0,Working Hours,Rel. Humidity [%]
580,Zone 1,59.8333333333,Working Hours,Rel. Humidity [%]
571,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
553,Zone 1,61.2222222222,Working Hours,Rel. Humidity [%]
552,Zone 1,61.0,Working Hours,Rel. Humidity [%]
551,Zone 1,60.7777777778,Working Hours,Rel. Humidity [%]
550,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
549,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
548,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
547,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
546,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
545,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
544,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
543,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
542,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
541,Zone 1,60.6666666667,Working Hours,Rel. Humidity [%]
540,Zone 1,60.8333333333,Working Hours,Rel. Humidity [%]
