,Zones,Value,Occupancy Type,Unit
592,Zone 1,546.186288692,Working Hours,CO2 [ppm]
801,Zone 1,984.635818921,Non-working Hours,CO2 [ppm]
800,Zone 1,1047.18422455,Non-working Hours,CO2 [ppm]
799,Zone 1,1052.12591698,Non-working Hours,CO2 [ppm]
798,Zone 1,1068.69000066,Non-working Hours,CO2 [ppm]
797,Zone 1,1077.18327056,Non-working Hours,CO2 [ppm]
796,Zone 1,1088.63784965,Non-working Hours,CO2 [ppm]
795,Zone 1,1102.49993777,Non-working Hours,CO2 [ppm]
794,Zone 1,1107.24667869,Non-working Hours,CO2 [ppm]
793,Zone 1,1122.04728834,Non-working Hours,CO2 [ppm]
780,Zone 1,570.533521016,Non-working Hours,CO2 [ppm]
792,Zone 1,1131.27222682,Non-working Hours,CO2 [ppm]
790,Zone 1,1154.89711914,Non-working Hours,CO2 [ppm]
789,Zone 1,1159.15838784,Non-working Hours,CO2 [ppm]
788,Zone 1,1159.07726347,Non-working Hours,CO2 [ppm]
787,Zone 1,480.866889863,Non-working Hours,CO2 [ppm]
786,Zone 1,483.47770473,Non-working Hours,CO2 [ppm]
785,Zone 1,489.481632404,Non-working Hours,CO2 [ppm]
784,Zone 1,505.784052084,Non-working Hours,CO2 [ppm]
783,Zone 1,526.829802922,Non-working Hours,CO2 [ppm]
782,Zone 1,553.90756114,Non-working Hours,CO2 [ppm]
791,Zone 1,1137.52578161,Non-working Hours,CO2 [ppm]
778,Zone 1,571.537478505,Non-working Hours,CO2 [ppm]
755,Zone 1,636.163074196,Non-working Hours,CO2 [ppm]
777,Zone 1,571.632418186,Non-working Hours,CO2 [ppm]
776,Zone 1,571.672741451,Non-working Hours,CO2 [ppm]
775,Zone 1,571.399971279,Non-working Hours,CO2 [ppm]
774,Zone 1,571.941661834,Non-working Hours,CO2 [ppm]
773,Zone 1,573.195042855,Non-working Hours,CO2 [ppm]
772,Zone 1,581.702222501,Non-working Hours,CO2 [ppm]
771,Zone 1,592.402568583,Non-working Hours,CO2 [ppm]
770,Zone 1,593.390956954,Non-working Hours,CO2 [ppm]
769,Zone 1,592.858002653,Non-working Hours,CO2 [ppm]
768,Zone 1,593.395951876,Non-working Hours,CO2 [ppm]
767,Zone 1,593.685933481,Non-working Hours,CO2 [ppm]
766,Zone 1,593.58034287,Non-working Hours,CO2 [ppm]
765,Zone 1,594.490734085,Non-working Hours,CO2 [ppm]
764,Zone 1,605.279241474,Non-working Hours,CO2 [ppm]
763,Zone 1,613.555233533,Non-working Hours,CO2 [ppm]
762,Zone 1,613.313822688,Non-working Hours,CO2 [ppm]
761,Zone 1,614.411086003,Non-working Hours,CO2 [ppm]
760,Zone 1,614.725786987,Non-working Hours,CO2 [ppm]
759,Zone 1,615.91948627,Non-working Hours,CO2 [ppm]
758,Zone 1,621.86434767,Non-working Hours,CO2 [ppm]
757,Zone 1,628.65901023,Non-working Hours,CO2 [ppm]
756,Zone 1,635.8683626,Non-working Hours,CO2 [ppm]
781,Zone 1,568.230295527,Non-working Hours,CO2 [ppm]
779,Zone 1,570.951999577,Non-working Hours,CO2 [ppm]
704,Zone 1,600.543495117,Non-working Hours,CO2 [ppm]
754,Zone 1,637.449387579,Non-working Hours,CO2 [ppm]
730,Zone 1,418.401194526,Non-working Hours,CO2 [ppm]
751,Zone 1,658.075803619,Non-working Hours,CO2 [ppm]
750,Zone 1,679.280717102,Non-working Hours,CO2 [ppm]
749,Zone 1,680.055360657,Non-working Hours,CO2 [ppm]
748,Zone 1,681.033474234,Non-working Hours,CO2 [ppm]
747,Zone 1,691.368885998,Non-working Hours,CO2 [ppm]
746,Zone 1,699.207142841,Non-working Hours,CO2 [ppm]
745,Zone 1,700.805010488,Non-working Hours,CO2 [ppm]
744,Zone 1,701.573005704,Non-working Hours,CO2 [ppm]
743,Zone 1,701.494576481,Non-working Hours,CO2 [ppm]
742,Zone 1,701.623864487,Non-working Hours,CO2 [ppm]
741,Zone 1,701.993273261,Non-working Hours,CO2 [ppm]
740,Zone 1,707.725568394,Non-working Hours,CO2 [ppm]
739,Zone 1,714.585465486,Non-working Hours,CO2 [ppm]
738,Zone 1,719.711298894,Non-working Hours,CO2 [ppm]
737,Zone 1,398.540090318,Non-working Hours,CO2 [ppm]
736,Zone 1,398.87770062,Non-working Hours,CO2 [ppm]
735,Zone 1,398.000000101,Non-working Hours,CO2 [ppm]
734,Zone 1,398.000003836,Non-working Hours,CO2 [ppm]
733,Zone 1,398.000281695,Non-working Hours,CO2 [ppm]
732,Zone 1,398.009870828,Non-working Hours,CO2 [ppm]
728,Zone 1,495.724300875,Non-working Hours,CO2 [ppm]
705,Zone 1,600.490289224,Non-working Hours,CO2 [ppm]
753,Zone 1,646.494271847,Non-working Hours,CO2 [ppm]
