,Zones,Value,Occupancy Type,Unit
0,Zone 3,15.058244,Working Hours,Particles [micrograms/m3]
1,Zone 3,17.445284,Working Hours,Particles [micrograms/m3]
2,Zone 3,16.01306,Working Hours,Particles [micrograms/m3]
3,Zone 3,16.570036,Working Hours,Particles [micrograms/m3]
4,Zone 3,16.51036,Working Hours,Particles [micrograms/m3]
5,Zone 3,15.495868,Working Hours,Particles [micrograms/m3]
6,Zone 3,15.674896,Working Hours,Particles [micrograms/m3]
7,Zone 3,16.052844,Working Hours,Particles [micrograms/m3]
8,Zone 3,14.978676,Working Hours,Particles [micrograms/m3]
9,Zone 3,16.60982,Working Hours,Particles [micrograms/m3]
10,Zone 3,15.973276,Working Hours,Particles [micrograms/m3]
11,Zone 3,14.282456,Working Hours,Particles [micrograms/m3]
12,Zone 3,17.127012,Working Hours,Particles [micrograms/m3]
13,Zone 3,15.456084,Working Hours,Particles [micrograms/m3]
14,Zone 3,13.745372,Working Hours,Particles [micrograms/m3]
15,Zone 3,16.51036,Working Hours,Particles [micrograms/m3]
16,Zone 3,17.127012,Working Hours,Particles [micrograms/m3]
17,Zone 3,16.848524,Working Hours,Particles [micrograms/m3]
18,Zone 3,14.779756,Working Hours,Particles [micrograms/m3]
19,Zone 3,15.436192,Working Hours,Particles [micrograms/m3]
20,Zone 3,16.928092,Working Hours,Particles [micrograms/m3]
21,Zone 3,18.837724,Working Hours,Particles [micrograms/m3]
22,Zone 3,15.774356,Working Hours,Particles [micrograms/m3]
23,Zone 3,20.906492,Working Hours,Particles [micrograms/m3]
24,Zone 3,22.000552,Working Hours,Particles [micrograms/m3]
25,Zone 3,20.3893,Working Hours,Particles [micrograms/m3]
26,Zone 3,15.11792,Working Hours,Particles [micrograms/m3]
27,Zone 3,14.640512,Working Hours,Particles [micrograms/m3]
28,Zone 3,18.141504,Working Hours,Particles [micrograms/m3]
29,Zone 3,17.863016,Working Hours,Particles [micrograms/m3]
30,Zone 3,19.414592,Working Hours,Particles [micrograms/m3]
31,Zone 3,18.8974,Working Hours,Particles [micrograms/m3]
32,Zone 3,17.087228,Working Hours,Particles [micrograms/m3]
33,Zone 3,18.678588,Working Hours,Particles [micrograms/m3]
34,Zone 3,19.852216,Working Hours,Particles [micrograms/m3]
35,Zone 3,18.181288,Working Hours,Particles [micrograms/m3]
36,Zone 3,16.231872,Working Hours,Particles [micrograms/m3]
37,Zone 3,17.166796,Working Hours,Particles [micrograms/m3]
38,Zone 3,17.4055,Working Hours,Particles [micrograms/m3]
39,Zone 3,17.783448,Working Hours,Particles [micrograms/m3]
40,Zone 3,15.396408,Working Hours,Particles [micrograms/m3]
41,Zone 3,15.893708,Working Hours,Particles [micrograms/m3]
42,Zone 3,16.749064,Working Hours,Particles [micrograms/m3]
43,Zone 3,15.396408,Working Hours,Particles [micrograms/m3]
44,Zone 3,14.859324,Working Hours,Particles [micrograms/m3]
45,Zone 3,19.155996,Working Hours,Particles [micrograms/m3]
46,Zone 3,20.846816,Working Hours,Particles [micrograms/m3]
47,Zone 3,14.381916,Working Hours,Particles [micrograms/m3]
48,Zone 3,15.157704,Working Hours,Particles [micrograms/m3]
49,Zone 3,18.419992,Working Hours,Particles [micrograms/m3]
50,Zone 3,18.658696,Working Hours,Particles [micrograms/m3]
51,Zone 3,18.579128,Working Hours,Particles [micrograms/m3]
52,Zone 3,19.712972,Working Hours,Particles [micrograms/m3]
53,Zone 3,19.533944,Working Hours,Particles [micrograms/m3]
54,Zone 3,18.837724,Working Hours,Particles [micrograms/m3]
55,Zone 3,19.036644,Working Hours,Particles [micrograms/m3]
56,Zone 3,18.240964,Working Hours,Particles [micrograms/m3]
57,Zone 3,18.59902,Working Hours,Particles [micrograms/m3]
58,Zone 3,18.8974,Working Hours,Particles [micrograms/m3]
59,Zone 3,18.877508,Working Hours,Particles [micrograms/m3]
60,Zone 3,19.573728,Working Hours,Particles [micrograms/m3]
61,Zone 3,19.09632,Working Hours,Particles [micrograms/m3]
62,Zone 3,17.882908,Working Hours,Particles [micrograms/m3]
63,Zone 3,19.514052,Working Hours,Particles [micrograms/m3]
64,Zone 3,18.817832,Working Hours,Particles [micrograms/m3]
65,Zone 3,17.843124,Working Hours,Particles [micrograms/m3]
66,Zone 3,18.20118,Working Hours,Particles [micrograms/m3]
67,Zone 3,17.982368,Working Hours,Particles [micrograms/m3]
68,Zone 3,17.564636,Working Hours,Particles [micrograms/m3]
69,Zone 3,18.30064,Working Hours,Particles [micrograms/m3]
70,Zone 3,18.99686,Working Hours,Particles [micrograms/m3]
71,Zone 3,17.524852,Working Hours,Particles [micrograms/m3]
72,Zone 3,16.470576,Working Hours,Particles [micrograms/m3]
