Location,Zone 1,Zone 2,Zone 3,Zone 4
2017-02-12 00:00:00,25.7500009537,25.6896190643,24.6500015259,25.7000007629
2017-02-12 00:05:00,25.8000011444,25.6896190643,25.133333842,25.7000007629
2017-02-12 00:10:00,25.7500009537,25.696931839,25.2500009537,25.7000007629
2017-02-12 00:15:00,25.7666676839,25.6998329162,24.8333346049,25.7000007629
2017-02-12 00:20:00,25.7500009537,25.697271347,24.8500003815,25.7000007629
2017-02-12 00:25:00,25.7666676839,25.7026297251,25.033334732,25.7000007629
2017-02-12 00:30:00,25.8000011444,25.7126064301,24.8500013351,25.8000011444
2017-02-12 00:35:00,25.7333342234,25.7098204295,25.0000012715,25.7000007629
2017-02-12 00:40:00,25.8000011444,25.7160959244,25.0000009537,25.7000007629
2017-02-12 00:45:00,25.8000011444,25.7177079519,24.9666684468,25.7666676839
2017-02-12 00:50:00,25.8000011444,25.7167873383,25.1500005722,25.7000007629
2017-02-12 00:55:00,25.7666676839,25.7225850423,25.0666681925,25.7666676839
2017-02-12 01:00:00,25.8000011444,25.7244567872,24.8000011444,25.7500009537
2017-02-12 01:05:00,25.7666676839,25.7253831228,25.133333842,25.7333342234
2017-02-12 01:10:00,25.8000011444,25.7352590561,25.2000007629,25.8000011444
2017-02-12 01:15:00,25.8000011444,25.725619634,25.0666681925,25.7333342234
2017-02-12 01:20:00,25.8000011444,25.7355976105,24.8500013351,25.7500009537
2017-02-12 01:25:00,25.8000011444,25.7312018077,25.0000006358,25.8000011444
2017-02-12 01:30:00,25.8000011444,25.7397928238,25.2500019073,25.8000011444
2017-02-12 01:35:00,25.8000011444,25.7411810557,25.0666675567,25.7666676839
2017-02-12 01:40:00,25.7500009537,25.7432823181,25.4000005722,25.7500009537
2017-02-12 01:45:00,25.8000011444,25.7462832133,25.0666675568,25.7666676839
2017-02-12 01:50:00,25.8000011444,25.7474622727,25.1000013351,25.8000011444
2017-02-12 01:55:00,25.8000011444,25.7514063517,24.9333343506,25.8000011444
2017-02-12 02:00:00,25.8000011444,25.7516422272,24.9000015259,25.8000011444
2017-02-12 02:05:00,25.8000011444,25.7565186819,25.1333344777,25.8000011444
2017-02-12 02:10:00,25.8000011444,25.7585868835,25.0500011444,25.8000011444
2017-02-12 02:15:00,25.8000011444,25.761384964,24.9333343506,25.8000011444
2017-02-12 02:20:00,25.7500009537,25.7666110992,25.0500011444,25.8000011444
2017-02-12 02:25:00,25.8000011444,25.7641817729,24.966667811,25.7666676839
2017-02-12 02:30:00,25.8000011444,25.7662715912,25.6500005722,25.8000011444
2017-02-12 02:35:00,25.7666676839,25.7667331695,25.0666675568,25.8000011444
2017-02-12 02:40:00,25.8000011444,25.7631368637,24.9000015259,25.8000011444
2017-02-12 02:45:00,25.8000011444,25.7741705576,25.0333340963,25.8000011444
2017-02-12 02:50:00,25.8000011444,25.7711439133,25.0500011444,25.8000011444
2017-02-12 02:55:00,25.7666676839,25.7720801035,25.2333342234,25.8000011444
2017-02-12 03:00:00,25.8000011444,25.7788276672,25.0500011444,25.8000011444
2017-02-12 03:05:00,25.8000011444,25.7823162079,25.100001653,25.8000011444
2017-02-12 03:10:00,25.7500009537,25.7823162079,25.2000017166,25.8000011444
2017-02-12 03:15:00,25.7666676839,25.7795187632,25.3000011444,25.8000011444
2017-02-12 03:20:00,25.8000011444,25.7816085815,25.3000011444,25.8000011444
2017-02-12 03:25:00,25.7666676839,25.7869472504,25.2666676839,25.8000011444
2017-02-12 03:30:00,25.8000011444,25.7899703979,25.0500011444,25.8000011444
2017-02-12 03:35:00,25.8000011444,25.7848676046,25.0666675568,25.8000011444
2017-02-12 03:40:00,25.7500009537,25.7938108444,25.0500011444,25.8000011444
2017-02-12 03:45:00,25.8000011444,25.7899703979,25.1000010172,25.8000011444
2017-02-12 03:50:00,25.8000011444,25.7899703979,25.1500005722,25.8000011444
2017-02-12 03:55:00,25.8000011444,25.7902050018,25.2000013987,25.8000011444
2017-02-12 04:00:00,25.8000011444,25.7976512909,25.1000013351,25.8000011444
2017-02-12 04:05:00,25.7666676839,25.7955519358,25.133333842,25.8000011444
2017-02-12 04:10:00,25.7500009537,25.7941637039,25.3500013351,25.8000011444
2017-02-12 04:15:00,25.8000011444,25.7955525716,25.2333342234,25.8000011444
2017-02-12 04:20:00,25.8000011444,25.805305481,25.1000003815,25.8000011444
