,Occupancy Type,Zones,value
2015-10-07 09:00:00,Occupied,Zone 3,23.9228748187
2015-10-07 09:10:00,Occupied,Zone 3,23.9248054306
2015-10-07 09:20:00,Occupied,Zone 3,23.7193056701
2015-10-07 09:30:00,Occupied,Zone 3,23.686375175
2015-10-07 09:40:00,Occupied,Zone 3,23.6236112431
2015-10-07 09:50:00,Occupied,Zone 3,23.5773749375
2015-10-07 10:00:00,Occupied,Zone 3,23.5453749687
2015-10-07 10:10:00,Occupied,Zone 3,23.5463889653
2015-10-07 10:20:00,Occupied,Zone 3,23.3976252375
2015-10-07 10:30:00,Occupied,Zone 3,23.4076388125
2015-10-07 10:40:00,Occupied,Zone 3,23.38025005
2015-10-07 10:50:00,Occupied,Zone 3,23.2868746938
2015-10-07 11:00:00,Occupied,Zone 3,23.2173609791
2015-10-07 11:10:00,Occupied,Zone 3,23.243125175
2015-10-07 11:20:00,Occupied,Zone 3,23.1995832986
2015-10-07 11:30:00,Occupied,Zone 3,23.1511251687
2015-10-07 11:40:00,Occupied,Zone 3,23.1830003312
2015-10-07 11:50:00,Occupied,Zone 3,23.1413889097
2015-10-07 12:00:00,Occupied,Zone 3,23.2505000375
2015-10-07 12:10:00,Occupied,Zone 3,23.670749925
2015-10-07 12:20:00,Occupied,Zone 3,24.001389
2015-10-07 12:30:00,Occupied,Zone 3,24.240999875
2015-10-07 12:40:00,Occupied,Zone 3,24.4400000486
2015-10-07 12:50:00,Occupied,Zone 3,24.5954999
2015-10-07 13:00:00,Occupied,Zone 3,24.6027497375
2015-10-07 13:10:00,Occupied,Zone 3,24.6438887014
2015-10-07 13:20:00,Occupied,Zone 3,24.7239999
2015-10-07 13:30:00,Occupied,Zone 3,24.881375125
2015-10-07 13:40:00,Occupied,Zone 3,24.9841667084
2015-10-07 13:50:00,Occupied,Zone 3,25.043624825
2015-10-07 14:00:00,Occupied,Zone 3,24.9288889861
2015-10-07 14:10:00,Occupied,Zone 3,24.94874995
2015-10-07 14:20:00,Occupied,Zone 3,24.9671250875
2015-10-07 14:30:00,Occupied,Zone 3,25.0720832708
2015-10-07 14:40:00,Occupied,Zone 3,25.1204995813
2015-10-07 14:50:00,Occupied,Zone 3,25.2213750563
2015-10-07 15:00:00,Occupied,Zone 3,25.2036111667
2015-10-07 15:10:00,Occupied,Zone 3,25.2130555903
2015-10-07 15:20:00,Occupied,Zone 3,25.3421253125
2015-10-07 15:30:00,Occupied,Zone 3,25.3715001687
2015-10-07 15:40:00,Occupied,Zone 3,25.3990281875
2015-10-07 15:50:00,Occupied,Zone 3,25.4246250625
2015-10-07 16:00:00,Occupied,Zone 3,25.4308335417
2015-10-07 16:10:00,Occupied,Zone 3,25.4779995812
2015-10-07 16:20:00,Occupied,Zone 3,25.5054997375
2015-10-07 16:30:00,Occupied,Zone 3,25.5216663819
2015-10-07 16:40:00,Occupied,Zone 3,25.5633749938
2015-10-07 16:50:00,Occupied,Zone 3,25.584583375
2015-10-07 17:00:00,Occupied,Zone 3,25.5858750125
2015-10-08 09:00:00,Occupied,Zone 3,24.1722500125
2015-10-08 09:10:00,Occupied,Zone 3,24.1305558681
2015-10-08 09:20:00,Occupied,Zone 3,24.0053750937
2015-10-08 09:30:00,Occupied,Zone 3,23.8555557847
2015-10-08 09:40:00,Occupied,Zone 3,23.7177501
2015-10-08 09:50:00,Occupied,Zone 3,23.8009723958
2015-10-08 10:00:00,Occupied,Zone 3,23.7008749375
2015-10-08 10:10:00,Occupied,Zone 3,23.6827778889
2015-10-08 10:20:00,Occupied,Zone 3,23.6065
2015-10-08 10:30:00,Occupied,Zone 3,23.5874999514
2015-10-08 10:40:00,Occupied,Zone 3,23.5922500125
2015-10-08 10:50:00,Occupied,Zone 3,23.5890001937
2015-10-08 11:00:00,Occupied,Zone 3,23.4901389445
2015-10-08 11:10:00,Occupied,Zone 3,23.4386250937
2015-10-08 11:20:00,Occupied,Zone 3,23.4186109444
2015-10-08 11:30:00,Occupied,Zone 3,23.4024997937
2015-10-08 11:40:00,Occupied,Zone 3,23.3683334236
2015-10-08 11:50:00,Occupied,Zone 3,23.3033749125
2015-10-08 12:00:00,Occupied,Zone 3,23.5141666805
2015-10-08 12:10:00,Occupied,Zone 3,23.9797500063
2015-10-08 12:20:00,Occupied,Zone 3,24.2506249812
2015-10-08 12:30:00,Occupied,Zone 3,24.4511109028
2015-10-08 12:40:00,Occupied,Zone 3,24.6623750688
2015-10-08 12:50:00,Occupied,Zone 3,24.7543056667
2015-10-08 13:00:00,Occupied,Zone 3,24.808000175
2015-10-08 13:10:00,Occupied,Zone 3,24.8748615347
2015-10-08 13:20:00,Occupied,Zone 3,24.9260002875
2015-10-08 13:30:00,Occupied,Zone 3,24.9736109097
2015-10-08 13:40:00,Occupied,Zone 3,25.0305552083
2015-10-08 13:50:00,Occupied,Zone 3,25.0851386458
2015-10-08 14:00:00,Occupied,Zone 3,25.1265970278
2015-10-08 14:10:00,Occupied,Zone 3,25.1683333194
2015-10-08 14:20:00,Occupied,Zone 3,25.2086250375
2015-10-08 14:30:00,Occupied,Zone 3,25.2350000347
2015-10-08 14:40:00,Occupied,Zone 3,25.2632500313
2015-10-08 14:50:00,Occupied,Zone 3,25.3111111736
2015-10-08 15:00:00,Occupied,Zone 3,25.3834999875
2015-10-08 15:10:00,Occupied,Zone 3,25.4617188359
2015-10-08 15:20:00,Occupied,Zone 3,25.4943745729
2015-10-08 15:30:00,Occupied,Zone 3,25.508624625
2015-10-08 15:40:00,Occupied,Zone 3,25.5536109375
2015-10-08 15:50:00,Occupied,Zone 3,25.6751249813
2015-10-08 16:00:00,Occupied,Zone 3,25.7353753125
2015-10-08 16:10:00,Occupied,Zone 3,25.7211111111
2015-10-08 16:20:00,Occupied,Zone 3,25.69875
2015-10-08 16:30:00,Occupied,Zone 3,25.7196251375
2015-10-08 16:40:00,Occupied,Zone 3,25.7231944445
2015-10-08 16:50:00,Occupied,Zone 3,25.7576251563
2015-10-08 17:00:00,Occupied,Zone 3,25.7644444097
2015-10-09 09:00:00,Occupied,Zone 3,24.741111007
2015-10-09 09:10:00,Occupied,Zone 3,24.8652499563
2015-10-09 09:20:00,Occupied,Zone 3,24.8131248875
2015-10-09 09:30:00,Occupied,Zone 3,24.647777375
2015-10-09 09:40:00,Occupied,Zone 3,24.4527499812
2015-10-09 09:50:00,Occupied,Zone 3,24.2923609584
2015-10-09 10:00:00,Occupied,Zone 3,24.041125
2015-10-09 10:10:00,Occupied,Zone 3,24.0074998562
2015-10-09 10:20:00,Occupied,Zone 3,24.0416667361
2015-10-09 10:30:00,Occupied,Zone 3,23.8472500688
2015-10-09 10:40:00,Occupied,Zone 3,23.6670833472
2015-10-09 10:50:00,Occupied,Zone 3,23.6157499812
2015-10-09 11:00:00,Occupied,Zone 3,23.8161110278
2015-10-09 11:10:00,Occupied,Zone 3,24.3832500313
2015-10-09 11:20:00,Occupied,Zone 3,24.6906249875
2015-10-09 11:30:00,Occupied,Zone 3,24.747638875
2015-10-09 11:40:00,Occupied,Zone 3,24.8323749562
2015-10-09 11:50:00,Occupied,Zone 3,24.9848610764
2015-10-09 12:00:00,Occupied,Zone 3,25.0208753688
2015-10-09 12:10:00,Occupied,Zone 3,25.0859722084
2015-10-09 12:20:00,Occupied,Zone 3,25.13287485
2015-10-09 12:30:00,Occupied,Zone 3,25.2206249688
2015-10-09 12:40:00,Occupied,Zone 3,25.2513888819
2015-10-09 12:50:00,Occupied,Zone 3,25.3001250188
2015-10-09 13:00:00,Occupied,Zone 3,25.3872221945
2015-10-09 13:10:00,Occupied,Zone 3,25.4158749375
2015-10-09 13:20:00,Occupied,Zone 3,25.5052504188
2015-10-09 13:30:00,Occupied,Zone 3,25.5358336806
2015-10-09 13:40:00,Occupied,Zone 3,25.5762498313
2015-10-09 13:50:00,Occupied,Zone 3,25.6224996437
2015-10-09 14:00:00,Occupied,Zone 3,25.6751388611
2015-10-09 14:10:00,Occupied,Zone 3,25.6995832917
2015-10-09 14:20:00,Occupied,Zone 3,25.7403749812
2015-10-09 14:30:00,Occupied,Zone 3,25.7544999937
2015-10-09 14:40:00,Occupied,Zone 3,25.7697221875
2015-10-09 14:50:00,Occupied,Zone 3,25.793750025
2015-10-09 15:00:00,Occupied,Zone 3,25.7968055139
2015-10-09 15:10:00,Occupied,Zone 3,25.8406250187
2015-10-09 15:20:00,Occupied,Zone 3,25.9153751687
2015-10-09 15:30:00,Occupied,Zone 3,25.9620832569
2015-10-09 15:40:00,Occupied,Zone 3,26.0323746125
2015-10-09 15:50:00,Occupied,Zone 3,26.0556524118
2015-10-09 16:00:00,Occupied,Zone 3,26.0914998375
2015-10-09 16:10:00,Occupied,Zone 3,26.1401249312
2015-10-09 16:20:00,Occupied,Zone 3,26.1493054861
2015-10-09 16:30:00,Occupied,Zone 3,26.106374725
2015-10-09 16:40:00,Occupied,Zone 3,26.128749825
2015-10-09 16:50:00,Occupied,Zone 3,26.110555243
2015-10-09 17:00:00,Occupied,Zone 3,26.1104996437
2015-10-12 09:00:00,Occupied,Zone 3,25.6934721875
2015-10-12 09:10:00,Occupied,Zone 3,26.43162525
2015-10-12 09:20:00,Occupied,Zone 3,26.8005554445
2015-10-12 09:30:00,Occupied,Zone 3,26.9305001187
2015-10-12 09:40:00,Occupied,Zone 3,27.0234720833
2015-10-12 09:50:00,Occupied,Zone 3,26.99624965
2015-10-12 10:00:00,Occupied,Zone 3,27.0398605833
2015-10-12 10:10:00,Occupied,Zone 3,27.0572496
2015-10-12 10:20:00,Occupied,Zone 3,27.1001247438
2015-10-12 10:30:00,Occupied,Zone 3,27.1468055625
2015-10-12 10:40:00,Occupied,Zone 3,27.16725
2015-10-12 10:50:00,Occupied,Zone 3,27.2352777431
