,Zones,Value,Occupancy Type,Unit
0,Zone 1,1308.76849231,Working Hours,CO2 [ppm]
1,Zone 1,1306.65892923,Working Hours,CO2 [ppm]
2,Zone 1,1307.01052308,Working Hours,CO2 [ppm]
3,Zone 1,1310.64365949,Working Hours,CO2 [ppm]
4,Zone 1,1311.81563897,Working Hours,CO2 [ppm]
5,Zone 1,1315.44877538,Working Hours,CO2 [ppm]
6,Zone 1,1316.97234872,Working Hours,CO2 [ppm]
7,Zone 1,1321.30867282,Working Hours,CO2 [ppm]
8,Zone 1,1328.10615385,Working Hours,CO2 [ppm]
9,Zone 1,1329.51252923,Working Hours,CO2 [ppm]
10,Zone 1,1327.63736205,Working Hours,CO2 [ppm]
11,Zone 1,1325.99659077,Working Hours,CO2 [ppm]
12,Zone 1,1326.44584957,Working Hours,CO2 [ppm]
13,Zone 1,1327.40296615,Working Hours,CO2 [ppm]
14,Zone 1,1325.76219487,Working Hours,CO2 [ppm]
15,Zone 1,1325.76219487,Working Hours,CO2 [ppm]
16,Zone 1,1325.99659077,Working Hours,CO2 [ppm]
17,Zone 1,1324.29722051,Working Hours,CO2 [ppm]
18,Zone 1,1321.07427692,Working Hours,CO2 [ppm]
19,Zone 1,1318.61312,Working Hours,CO2 [ppm]
20,Zone 1,1314.0424,Working Hours,CO2 [ppm]
21,Zone 1,1307.71371077,Working Hours,CO2 [ppm]
22,Zone 1,1308.47549744,Working Hours,CO2 [ppm]
23,Zone 1,1302.55700103,Working Hours,CO2 [ppm]
24,Zone 1,1302.32260513,Working Hours,CO2 [ppm]
25,Zone 1,1303.49458462,Working Hours,CO2 [ppm]
26,Zone 1,1302.67419898,Working Hours,CO2 [ppm]
27,Zone 1,1300.0958441,Working Hours,CO2 [ppm]
28,Zone 1,1296.93149949,Working Hours,CO2 [ppm]
29,Zone 1,1300.21304205,Working Hours,CO2 [ppm]
30,Zone 1,1301.15062564,Working Hours,CO2 [ppm]
31,Zone 1,1303.84617846,Working Hours,CO2 [ppm]
32,Zone 1,1304.31497026,Working Hours,CO2 [ppm]
33,Zone 1,1304.17823932,Working Hours,CO2 [ppm]
34,Zone 1,1304.6665641,Working Hours,CO2 [ppm]
35,Zone 1,1305.48694975,Working Hours,CO2 [ppm]
36,Zone 1,1301.97101128,Working Hours,CO2 [ppm]
37,Zone 1,1299.39265641,Working Hours,CO2 [ppm]
38,Zone 1,1301.26782359,Working Hours,CO2 [ppm]
39,Zone 1,1304.56889914,Working Hours,CO2 [ppm]
40,Zone 1,1304.6665641,Working Hours,CO2 [ppm]
41,Zone 1,1305.36975179,Working Hours,CO2 [ppm]
42,Zone 1,1305.25255385,Working Hours,CO2 [ppm]
43,Zone 1,1309.06148718,Working Hours,CO2 [ppm]
44,Zone 1,1307.24491897,Working Hours,CO2 [ppm]
45,Zone 1,1302.90859487,Working Hours,CO2 [ppm]
46,Zone 1,1288.96203898,Working Hours,CO2 [ppm]
47,Zone 1,1278.68768547,Working Hours,CO2 [ppm]
48,Zone 1,1272.4371282,Working Hours,CO2 [ppm]
49,Zone 1,700.276742564,Working Hours,CO2 [ppm]
50,Zone 1,696.213880342,Working Hours,CO2 [ppm]
51,Zone 1,690.666510769,Working Hours,CO2 [ppm]
52,Zone 1,688.596013675,Working Hours,CO2 [ppm]
53,Zone 1,684.337821539,Working Hours,CO2 [ppm]
54,Zone 1,679.767101538,Working Hours,CO2 [ppm]
55,Zone 1,677.950533333,Working Hours,CO2 [ppm]
56,Zone 1,675.196381538,Working Hours,CO2 [ppm]
57,Zone 1,670.723326496,Working Hours,CO2 [ppm]
58,Zone 1,666.172139487,Working Hours,CO2 [ppm]
59,Zone 1,665.93774359,Working Hours,CO2 [ppm]
60,Zone 1,668.750494359,Working Hours,CO2 [ppm]
61,Zone 1,668.867692308,Working Hours,CO2 [ppm]
62,Zone 1,669.688077948,Working Hours,CO2 [ppm]
63,Zone 1,671.211651282,Working Hours,CO2 [ppm]
64,Zone 1,669.453682051,Working Hours,CO2 [ppm]
65,Zone 1,666.054941539,Working Hours,CO2 [ppm]
66,Zone 1,667.207388034,Working Hours,CO2 [ppm]
67,Zone 1,667.891042735,Working Hours,CO2 [ppm]
68,Zone 1,674.961985641,Working Hours,CO2 [ppm]
69,Zone 1,684.201090598,Working Hours,CO2 [ppm]
70,Zone 1,687.267770256,Working Hours,CO2 [ppm]
71,Zone 1,690.353982906,Working Hours,CO2 [ppm]
72,Zone 1,696.760804102,Working Hours,CO2 [ppm]
73,Zone 1,707.445350427,Working Hours,CO2 [ppm]
74,Zone 1,714.184232479,Working Hours,CO2 [ppm]
75,Zone 1,717.504841026,Working Hours,CO2 [ppm]
76,Zone 1,720.434789744,Working Hours,CO2 [ppm]
77,Zone 1,715.395277949,Working Hours,CO2 [ppm]
78,Zone 1,721.020779487,Working Hours,CO2 [ppm]
79,Zone 1,736.842502564,Working Hours,CO2 [ppm]
80,Zone 1,749.83194188,Working Hours,CO2 [ppm]
81,Zone 1,763.798030769,Working Hours,CO2 [ppm]
82,Zone 1,775.049033846,Working Hours,CO2 [ppm]
83,Zone 1,786.651630769,Working Hours,CO2 [ppm]
84,Zone 1,795.910268718,Working Hours,CO2 [ppm]
85,Zone 1,806.770611966,Working Hours,CO2 [ppm]
86,Zone 1,817.025432479,Working Hours,CO2 [ppm]
87,Zone 1,826.381735385,Working Hours,CO2 [ppm]
88,Zone 1,836.851418803,Working Hours,CO2 [ppm]
89,Zone 1,847.106239316,Working Hours,CO2 [ppm]
90,Zone 1,856.384410256,Working Hours,CO2 [ppm]
91,Zone 1,861.658317949,Working Hours,CO2 [ppm]
92,Zone 1,871.62014359,Working Hours,CO2 [ppm]
93,Zone 1,878.945015385,Working Hours,CO2 [ppm]
94,Zone 1,887.637196581,Working Hours,CO2 [ppm]
95,Zone 1,891.778190769,Working Hours,CO2 [ppm]
96,Zone 1,898.868666667,Working Hours,CO2 [ppm]
97,Zone 1,903.849579487,Working Hours,CO2 [ppm]
98,Zone 1,1262.47530256,Working Hours,CO2 [ppm]
99,Zone 1,1264.9169265,Working Hours,CO2 [ppm]
100,Zone 1,1268.5695959,Working Hours,CO2 [ppm]
101,Zone 1,1268.21800205,Working Hours,CO2 [ppm]
102,Zone 1,1268.1008041,Working Hours,CO2 [ppm]
103,Zone 1,1271.26514872,Working Hours,CO2 [ppm]
104,Zone 1,1270.67915897,Working Hours,CO2 [ppm]
105,Zone 1,1271.03075282,Working Hours,CO2 [ppm]
106,Zone 1,1198.46261026,Working Hours,CO2 [ppm]
107,Zone 1,972.202732308,Working Hours,CO2 [ppm]
108,Zone 1,973.316112821,Working Hours,CO2 [ppm]
